id,id
14220,21612
14220,21677
14227,388694
14237,515599
14268,389895
14271,473163
14271,473115
14271,598292
14271,472842
14274,387284
14282,473102
14299,391093
14318,13102
14327,390470
14340,641838
14340,642796
14340,473102
14342,389830
14355,595040
14355,674362
14401,20383
14401,20265
14401,21414
14401,20542
14410,391331
14411,387717
14421,473221
14429,334725
14429,335858
14433,390434
14438,95215
14441,20293
14441,20469
14441,595877
14450,20822
14466,599511
14478,21174
14478,390296
14478,387387
14478,96021
14484,387358
14498,674599
14511,595793
14525,19852
14526,388951
14546,473084
14546,390369
14570,389864
14590,20112
14592,387553
14600,334575
14600,594963
14600,595106
14600,472857
14600,473211
14600,595926
14601,472332
14601,546741
14606,20717
14606,107221
14613,594827
14613,473230
14613,673685
14613,596047
14613,673985
14613,335890
14619,546454
14637,388098
14637,389117
14637,389316
14637,389461
14642,472696
14642,472975
14642,390473
14642,334806
14654,472815
14654,335163
14654,335668
14654,334968
14668,20064
14681,673956
14681,473095
14681,472549
14681,20110
14681,21084
14681,108441
14684,387652
14702,387638
14702,390370
14704,389356
14704,390370
14714,14714
14725,95245
14725,643714
14726,388638
14746,388521
14772,389172
14772,390369
14779,546338
14779,546719
14782,20838
14787,391028
14794,20938
14797,20719
14802,388088
14828,674642
14828,674953
14840,390573
14845,388029
14856,472343
14856,598165
14856,673985
14856,598860
14856,473336
14856,473084
14856,598409
14856,598292
14856,472407
14856,598546
14858,390440
14862,472612
14862,473536
14864,389939
14874,20930
14880,20232
14889,387652
14889,389172
14889,391160
14960,388498
14981,472343
14981,388498
14981,390369
14982,472343
14982,473084
15017,335330
15025,591078
15031,643354
15033,21260
15039,20075
15056,673673
15059,598424
15060,674049
15069,472771
15073,389286
15094,21395
15118,21174
15118,20383
15123,594623
15123,1064952
15128,389124
15145,335764
15154,473462
15207,389175
15254,390097
15264,387362
15264,389785
15299,335900
15299,389177
15301,387362
15301,387515
15313,597934
15313,597964
15313,642548
15313,643568
15314,13475
15314,389219
15314,13126
15319,389177
15334,390369
15334,389172
15338,334445
15338,335735
15338,335914
15367,387652
15367,389172
15367,389380
15367,389510
15367,389963
15384,95075
15385,389939
15446,389939
15463,473095
15463,673956
15463,20429
15463,20474
15463,20152
15464,335941
15469,388106
15469,388655
15480,335044
15480,335051
15490,391173
15498,21153
15501,595300
15501,107400
15501,674599
15501,20665
15503,387553
15509,595300
15511,597980
15511,335105
15511,515681
15515,335858
15517,594593
15517,674771
15517,594496
15517,594382
15517,472857
15517,595127
15517,595178
15517,674316
15517,595578
15517,595638
15517,595701
15517,595926
15517,674968
15526,472682
15532,388503
15532,390080
15532,391270
15537,95368
15537,335741
15537,472771
15549,21212
15549,20383
15560,389177
15562,674838
15562,597887
15562,641979
15562,673887
15562,673928
15562,643265
15562,598568
15562,674189
15562,599155
15562,473014
15562,674879
15562,674909
15562,299369
15571,20090
15575,391153
15591,335391
15598,388586
15605,387652
15621,472357
15621,472612
15621,472624
15621,473536
15622,517229
15623,673725
15623,299372
15623,641830
15659,15974
15661,388029
15665,674953
15665,472432
15673,594744
15673,335542
15673,95171
15673,334859
15673,595970
15673,595990
15673,95356
15674,515013
15674,387747
15675,674336
15675,673956
15675,472691
15675,472892
15678,643119
15680,642502
15680,334939
15684,595300
15691,387255
15693,596013
